Signature	Samples
LST	2TX961
LST	7V68FX
LST	P0GY2V
LST	GP0TDC
LST	UJ9QUA
LST	4YWOHH
LST	HWO7M5
LST	ZP4V8D
LST	HT9693
LST	KY38JO
LST	D5ZZTN
LST	DTKF7N
LST	AKRWHE
LST	P9W3NR
LST	RY4CCH
LST	FZVLXX
LST	6ETQPX
LST	ER52JI
LST	2E8Q8T
LST	FSD5AL
ecDNA	WUYZ9T
ecDNA	6UI8OJ
ecDNA	M3J0YL
ecDNA	7Y58DN
ecDNA	IWRH08
ecDNA	28WX4I
ecDNA	7YCX5X
ecDNA	7FDMAA
ecDNA	2TKTM9
ecDNA	2JN637
ecDNA	4EKYAX
ecDNA	0RRCD7
ecDNA	EZGA5Z
ecDNA	NAWX91
ecDNA	MKAUTX
ecDNA	LXAUUF
ecDNA	WUKRAF
ecDNA	OVHVKC
ecDNA	2DT106
ecDNA	ZZ2P77
Chr	P8E3Y0
Chr	A6VXVK
Chr	CCZQL1
Chr	NJVN6T
Chr	HIWZ4I
Chr	RNWB8P
Chr	FSRD1S
Chr	TZV054
Chr	GN3Y4C
Chr	ZMW0TA
Chr	FXAR16
Chr	KEARL7
Chr	U366V3
Chr	VLR2MH
Chr	VLW21T
Chr	E0CU4F
Chr	3VEY4N
Chr	8GUH8A
Chr	5SDACW
Chr	DIFQYP
LST_Chr	IMPBRK
LST_Chr	ZX5NA5
LST_Chr	YT19ZO
LST_Chr	S9AEOB
LST_Chr	65VX5F
LST_Chr	ZX3AEU
LST_Chr	FWLMC1
LST_Chr	0PP4HU
LST_Chr	V7VS35
LST_Chr	TXRZ5H
LST_Chr	EOBB4Q
LST_Chr	EGBLEW
LST_Chr	OE1DAF
LST_Chr	08AP3D
LST_Chr	BFJDM7
LST_Chr	NT5TF6
LST_Chr	1I9HPM
LST_Chr	BIP85D
LST_Chr	A1V6AN
LST_Chr	S0KO94
LST_ecDNA	9MYJZI
LST_ecDNA	QNHR0L
LST_ecDNA	5D2XYU
LST_ecDNA	UPCF2L
LST_ecDNA	OCRNVG
LST_ecDNA	R5OS70
LST_ecDNA	DNA5O0
LST_ecDNA	UGBXA1
LST_ecDNA	CEKUDV
LST_ecDNA	G90O42
LST_ecDNA	AZ9WDX
LST_ecDNA	NIXBOP
LST_ecDNA	2A66UX
LST_ecDNA	KWBK4Q
LST_ecDNA	6G9GEN
LST_ecDNA	J3EQP7
LST_ecDNA	AA9MG9
LST_ecDNA	09Q1YY
LST_ecDNA	3JB6NB
LST_ecDNA	NUBZ28
Chr_ecDNA	ZQLQA9
Chr_ecDNA	JN8VFV
Chr_ecDNA	2RGNOA
Chr_ecDNA	RM600Q
Chr_ecDNA	6EQIMT
Chr_ecDNA	AM2BNI
Chr_ecDNA	FTCARU
Chr_ecDNA	1PEUBB
Chr_ecDNA	IQM8M8
Chr_ecDNA	8GWKR4
Chr_ecDNA	Q49YJ2
Chr_ecDNA	H38J5I
Chr_ecDNA	2JUKYD
Chr_ecDNA	FVKRBE
Chr_ecDNA	JOAOG1
Chr_ecDNA	1ABOG0
Chr_ecDNA	P6QYCK
Chr_ecDNA	DJKMYH
Chr_ecDNA	D5F2Y2
Chr_ecDNA	KG2QBG
WGDearly_LST_ecDNA	L7YNDZ
